Date,Consommation,Date,Jour,Mois,Année,CO2_moy,CO2
2012-01-01,1235796.0,2012-01-01,1,1,2012,37.583333333333336,46.0
2012-01-02,1456407.0,2012-01-02,2,1,2012,33.6875,49.0
2012-01-03,1626290.0,2012-01-03,3,1,2012,29.895833333333332,48.0
2012-01-04,1632701.0,2012-01-04,4,1,2012,29.270833333333332,47.0
2012-01-05,1659777.0,2012-01-05,5,1,2012,31.520833333333332,52.0
2012-01-06,1657422.0,2012-01-06,6,1,2012,40.208333333333336,66.0
2012-01-07,1515853.0,2012-01-07,7,1,2012,33.3125,50.0
2012-01-08,1416791.0,2012-01-08,8,1,2012,34.1875,48.0
2012-01-09,1613687.0,2012-01-09,9,1,2012,47.166666666666664,76.0
2012-01-10,1645393.0,2012-01-10,10,1,2012,51.5,84.0
2012-01-11,1658030.0,2012-01-11,11,1,2012,53.708333333333336,89.0
2012-01-12,1715185.0,2012-01-12,12,1,2012,48.666666666666664,83.0
2012-01-13,1706840.0,2012-01-13,13,1,2012,57.979166666666664,98.0
2012-01-14,1627089.0,2012-01-14,14,1,2012,51.1875,83.0
2012-01-15,1632470.0,2012-01-15,15,1,2012,48.666666666666664,79.0
2012-01-16,1834024.0,2012-01-16,16,1,2012,72.41666666666667,132.0
2012-01-17,1888282.0,2012-01-17,17,1,2012,84.58333333333333,159.0
2012-01-18,1885456.0,2012-01-18,18,1,2012,79.22916666666667,149.0
2012-01-19,1752653.0,2012-01-19,19,1,2012,67.4375,118.0
2012-01-20,1673208.0,2012-01-20,20,1,2012,56.770833333333336,94.0
2012-01-21,1479461.0,2012-01-21,21,1,2012,32.208333333333336,47.0
2012-01-22,1382618.0,2012-01-22,22,1,2012,33.333333333333336,46.0
2012-01-23,1591847.0,2012-01-23,23,1,2012,49.6875,79.0
2012-01-24,1654660.0,2012-01-24,24,1,2012,65.125,107.0
2012-01-25,1637339.0,2012-01-25,25,1,2012,60.729166666666664,99.0
2012-01-26,1642679.0,2012-01-26,26,1,2012,46.708333333333336,76.0
2012-01-27,1660329.0,2012-01-27,27,1,2012,49.166666666666664,81.0
2012-01-28,1564736.0,2012-01-28,28,1,2012,47.708333333333336,74.0
2012-01-29,1575382.0,2012-01-29,29,1,2012,48.5,76.0
2012-01-30,1849932.0,2012-01-30,30,1,2012,65.29166666666667,120.0
2012-01-31,1914193.0,2012-01-31,31,1,2012,84.41666666666667,161.0
2012-02-01,2005918.0,2012-02-01,1,2,2012,91.5,183.0
2012-02-02,2100576.0,2012-02-02,2,2,2012,100.95833333333333,212.0
2012-02-03,2141950.0,2012-02-03,3,2,2012,104.125,223.0
2012-02-04,2043178.0,2012-02-04,4,2,2012,102.41666666666667,209.0
2012-02-05,1992523.0,2012-02-05,5,2,2012,104.33333333333333,207.0
2012-02-06,2115645.0,2012-02-06,6,2,2012,115.79166666666667,244.0
2012-02-07,2188230.0,2012-02-07,7,2,2012,115.60416666666667,252.0
2012-02-08,2258320.0,2012-02-08,8,2,2012,122.54166666666667,276.0
2012-02-09,2228835.0,2012-02-09,9,2,2012,125.97916666666667,280.0
2012-02-10,2166303.0,2012-02-10,10,2,2012,124.5,269.0
2012-02-11,2110828.0,2012-02-11,11,2,2012,115.85416666666667,244.0
2012-02-12,2044846.0,2012-02-12,12,2,2012,116.22916666666667,237.0
2012-02-13,2082496.0,2012-02-13,13,2,2012,114.375,238.0
2012-02-14,1979529.0,2012-02-14,14,2,2012,99.6875,197.0
2012-02-15,1899886.0,2012-02-15,15,2,2012,99.8125,189.0
2012-02-16,1814212.0,2012-02-16,16,2,2012,89.02083333333333,161.0
2012-02-17,1768188.0,2012-02-17,17,2,2012,86.45833333333333,152.0
